ID,Orgname,City,Zip
463023,Matteson School District 162,NEW LENOX,60451
463024,University of Illinois,CHICAGO,60631
463029,FRB Chicago,CHICAGO,60613
463030,Airbnb Inc,CHICAGO,60661
463045,Jsm Venture Inc,WINNETKA,60093
463046,Durandal Inc,RIVER FOREST,60305
463049,Vaile Financial Group,CHICAGO,60657
463051,Attorney,LAKE BLUFF,60044
463076,Oak Street Health,WILMETTE,60091
463078,Cusd 99,BENTON,62812
463087,Adtalem,CHICAGO,60614
463089,Journey Care Hospice,NORTHFIELD,60093
463091,Regina Dominican High School,CHICAGO,60611
463092,Visual Designer,CRYSTAL LAKE,60012
463096,Raa LLC,GALENA,61036
463097,Metea Valley High School,NAPERVILLE,60540
463099,Uchicago Impact,CHICAGO,60657
463100,Alliant Insurance Services,CHICAGO,60605
463103,Neurosciences Ltd,CHICAGO,60603
463115,US Postal Service,MILLINGTON,60537
463124,Loyola University,NAPERVILLE,60540
463132,Sales,ELBURN,60119
463133,E Anthony,TINLEY PARK,60477
463152,AMITA Health,OAK PARK,60304
463156,Jessie Gilbert Ltd,CHICAGO,60654
463157,HBK Engineering LLC,CHICAGO,60647
463161,Krzak Rundio Law Group,ELMHURST,60126
463162,Landlady,CHICAGO,60613
463186,Paradigm,CHICAGO,60640
463190,First American Financial Corp,GLEN ELLYN,60137
463193,Legal Aid Chicago,CHICAGO,60657
463201,Actor,CHICAGO,60626
463203,Ball,NAPERVILLE,60540
463205,Mercer LLC,CHICAGO,60614
463208,Glauberman Connection,SPRINGFIELD,62704
463209,Crochet Artist,NAPERVILLE,60540
463210,FedEx Corp,CHICAGO,60611
463214,Presbyterian Church,NORMAL,61761
463216,Modus Strategic Solutions,CHICAGO,60625
463217,SIU Carbondale Il,POMONA,62975
463218,CME Group,GLENCOE,60022
463231,Gair Eberhard Nelson Dedinas,ELMHURST,60126
463234,Bofa,CHICAGO,60610
463235,Global Payments,COUNTRY CLUB HILLS,60478
463238,Allstate Insurance,CHICAGO,60626
463243,AT&T Inc,CHICAGO,60638
463244,G&G Law LLC,CHICAGO,60640
463246,Jameson Real Estate,CHICAGO,60606
463254,Duane Morris LLP,CHAMPAIGN,61821
463255,Elgin Community College,ELGIN,60120
463257,Ica San Jose,CHICAGO,60637
463272,Corning Inc,SAINT PETER,62880
463275,Ivy Rehab Physical Therapy,WILMETTE,60091
463276,Arthur Andersen Llp,WILMETTE,60091
463278,Real Estate Broker,GLENCOE,60022
463281,Newly Weds Foods,CHICAGO,60661
463284,Lumeris Inc,O FALLON,62269
463285,McHenry County College,KILDEER,60047
463288,Bank of America,CHICAGO,60657
463289,Science Education Consultant,LINCOLNSHIRE,60069
463295,Goleys Accounting,FREEPORT,61032
463326,Student,CHICAGO,60637
463332,University of Rochester Medical Center,CHICAGO,60618
463335,Economist,EVANSTON,60201
46334,Team Graham,KANKAKEE,60901
463340,Rosecrance,ROSCOE,61073
463344,Blue Chip,EVANSTON,60201
463347,Ally Financial,OAK BROOK,60523
463367,Goren Eye Assoc,WILMETTE,60091
463368,School of the Art Institute Of Chicago,SKOKIE,60077
463369,Power Construction,CHICAGO,60631
463371,ConAgra Brands,CHICAGO,60607
463374,Lawyern,CHICAGO,60610
463375,Spothero Inc,CHICAGO,60622
463377,Winnebago County Casa,ROCKFORD,61107
463395,When We All Vote,CHICAGO,60622
463399,Automatic Data Processing Inc,BARRINGTON,60010
463403,Loyola University Chicago School of La,CHICAGO,60614
463413,Nyse,CHICAGO,60618
463416,Lake Forest Graduate School of Managem,LINCOLNSHIRE,60069
463423,Kirkland & Ellis,CHICAGO,60616
463425,Keystone Capital,EVANSTON,60201
